date,area,area_type,population,cases,cumulative_cases,reported_cases,cumulative_reported_cases,probable_cases,cumulative_probable_cases,report_prob,agency,avg_7,avg_per_100,sum_7,sum_per_100
2021-09-01,Monterey,County,448732,84,46322,40,45590,13,2369,53,case,70,16.126765592854458,490,112.88735914998124
2021-09-01,Monterey,County,448732,84,46322,40,45590,13,2369,53,cdc,69.42857142857143,15.995118526790343,486,111.96582968753239
2021-09-02,Monterey,County,448732,80,46402,58,45648,15,2384,73,case,70.85714285714286,16.324236191950636,496,114.26965334365447
2021-09-02,Monterey,County,448732,80,46402,58,45648,15,2384,73,cdc,67.85714285714286,15.63308909511402,475,109.43162366579813
2021-09-03,Monterey,County,448732,66,46468,59,45707,15,2399,74,case,69.85714285714286,16.09385382633843,489,112.65697678436901
2021-09-03,Monterey,County,448732,66,46468,59,45707,15,2399,74,cdc,66.57142857142857,15.336883196469753,466,107.35818237528827
2021-09-04,Monterey,County,448732,38,46506,49,45756,4,2403,53,case,68.28571428571429,15.731824394662109,478,110.12277076263474
2021-09-04,Monterey,County,448732,38,46506,49,45756,4,2403,53,cdc,64.85714285714286,14.941941998277398,454,104.59359398794177
2021-09-05,Monterey,County,448732,31,46537,39,45795,4,2407,43,case,66.71428571428571,15.36979496298578,467,107.58856474090048
2021-09-05,Monterey,County,448732,31,46537,39,45795,4,2407,43,cdc,66,15.205236130405634,462,106.43665291283945
2021-09-06,Monterey,County,448732,28,46565,38,45833,9,2416,47,case,55.57142857142857,12.802677174735479,389,89.61874022314836
2021-09-06,Monterey,County,448732,28,46565,38,45833,9,2416,47,cdc,63.857142857142854,14.711559632665193,447,102.98091742865635
2021-09-07,Monterey,County,448732,94,46659,78,45911,16,2432,94,case,60.142857142857146,13.855853703248426,421,96.99097592273897
2021-09-07,Monterey,County,448732,94,46659,78,45911,16,2432,94,cdc,62.42857142857143,14.382441967504898,437,100.67709377253428
2021-09-08,Monterey,County,448732,83,46742,48,45959,12,2444,60,case,60,13.822941936732395,420,96.76059355712677
2021-09-08,Monterey,County,448732,83,46742,48,45959,12,2444,60,cdc,63.42857142857143,14.612824333117103,444,102.28977033181971
2021-09-09,Monterey,County,448732,49,46791,32,45991,6,2450,38,case,55.57142857142857,12.802677174735479,389,89.61874022314836
2021-09-09,Monterey,County,448732,49,46791,32,45991,6,2450,38,cdc,58.42857142857143,13.46091250505607,409,94.22638753539249
2021-09-10,Monterey,County,448732,54,46845,93,46084,11,2461,104,case,53.857142857142854,12.407735976543126,377,86.85415183580189
2021-09-10,Monterey,County,448732,54,46845,93,46084,11,2461,104,cdc,62.714285714285715,14.448265500536955,439,101.13785850375868
2021-09-11,Monterey,County,448732,44,46889,56,46140,2,2463,58,case,54.714285714285715,12.605206575639304,383,88.23644602947512
2021-09-11,Monterey,County,448732,44,46889,56,46140,2,2463,58,cdc,63.42857142857143,14.612824333117103,444,102.28977033181971
2021-09-12,Monterey,County,448732,37,46926,27,46167,3,2466,30,case,55.57142857142857,12.802677174735479,389,89.61874022314836
2021-09-12,Monterey,County,448732,37,46926,27,46167,3,2466,30,cdc,61.57142857142857,14.18497136840872,431,99.29479957886103
2021-09-13,Monterey,County,448732,99,47025,21,46188,10,2476,31,case,65.71428571428571,15.139412597373573,460,105.97588818161503
2021-09-13,Monterey,County,448732,99,47025,21,46188,10,2476,31,cdc,59.285714285714285,13.658383104152248,415,95.60868172906574
2021-09-14,Monterey,County,448732,91,47116,36,46224,13,2489,49,case,65.28571428571429,15.040677297825487,457,105.28474108477842
2021-09-14,Monterey,County,448732,91,47116,36,46224,13,2489,49,cdc,52.857142857142854,12.177353610930918,370,85.24147527651644
2021-09-15,Monterey,County,448732,41,47157,93,46317,11,2500,104,case,59.285714285714285,13.658383104152248,415,95.60868172906574
2021-09-15,Monterey,County,448732,41,47157,93,46317,11,2500,104,cdc,59.142857142857146,13.625471337636217,414,95.37829936345352
2021-09-16,Monterey,County,448732,70,47227,25,46342,11,2511,36,case,62.285714285714285,14.349530200988866,436,100.44671140692206
2021-09-16,Monterey,County,448732,70,47227,25,46342,11,2511,36,cdc,58.857142857142854,13.55964780460416,412,94.9175346322291
2021-09-17,Monterey,County,448732,54,47281,79,46421,6,2517,85,case,62.285714285714285,14.349530200988866,436,100.44671140692206
2021-09-17,Monterey,County,448732,54,47281,79,46421,6,2517,85,cdc,56.142857142857146,12.934324240799599,393,90.54026968559718
2021-09-18,Monterey,County,448732,23,47304,45,46466,1,2518,46,case,59.285714285714285,13.658383104152248,415,95.60868172906574
