program,sex,decision
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
A,Male,Accepted
